"Artikelnummer","ean","Lagerbestand","Einkaufspreis","PlusFakt GuID","Hersteller","Profil","Herstellerartikelnummer","Reifenbreite","Reifenquerschnitt","Reifendurchmesser","Loadindex","Speedindex","Saison","Fahrzeugtyp","Bauart","LabelKraftstoffeffizienz","LabelNasshaftung","LabelRollgeraeusch","LabelRollgeraeuschklasse","LabelFahrzeugklasse","Dot","Demo","Da","Artikeltyp","Artikeluntertyp","EU Direktive","EPREL-URL","seller","best_offer"
"692454","5420068696161","","79.16","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","Maison du Pneu",""
"692454","5420068696161","","81.17","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","Goodwheel.fr","True"
"692454","5420068696161","","75.85","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","confortauto.fr",""
"692454","5420068696161","","82.94","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","bonspneus.fr",""
"692454","5420068696161","","79.16","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","Maison du Pneu",""
"692454","5420068696161","","81.17","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","Goodwheel.fr","True"
"692454","5420068696161","","75.85","","Minerva"," Frostrack UHP 225/55 R17 97H","","225","55","17","97","H","Pneu d'hiver","Voiture","R","C","C","72","","","","","","pneus","","","","confortauto.fr",""
"11370596","4717622038545","","189.86","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","discount-pneus.com","True"
"11370596","4717622038545","","191.46","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","tirendo.fr",""
"11370596","4717622038545","","193.05","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","123pneumatiques.fr",""
"11370596","4717622038545","","193.8","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","autopink-shop.fr",""
"11370596","4717622038545","","193.9","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","mobilemech.fr",""
"11370596","4717622038545","","194.8","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","pneus-outlet.fr",""
"11370596","4717622038545","","194.99","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","123pneus.com",""
"11370596","4717622038545","","195.2","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","pneu-guru.fr",""
"11370596","4717622038545","","189.86","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","discount-pneus.com","True"
"11370596","4717622038545","","191.46","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","tirendo.fr",""
"11370596","4717622038545","","193.05","","Nankang"," Noble Sport NS-20 225/30 ZR22 87W","","225","30","22","87","W","Pneu d'été","Voiture","ZR","F","C","72","","","","","","pneus","","","","123pneumatiques.fr",""
"12161260","3528708139541","","41.47","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","bonspneus.fr",""
"12161260","3528708139541","","41.83","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","Maison du Pneu",""
"12161260","3528708139541","","44.42","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","gr-pneus.fr",""
"12161260","3528708139541","","48.4","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","Goodwheel.fr","True"
"12161260","3528708139541","","51.54","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","confortauto.fr",""
"12161260","3528708139541","","41.47","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","bonspneus.fr",""
"12161260","3528708139541","","41.83","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","Maison du Pneu",""
"12161260","3528708139541","","44.42","","Kormoran"," Road 135/80 R13 70T","","135","80","13","70","T","Pneu d'été","Voiture","R","D","C","68","","","","","","pneus","","","","gr-pneus.fr",""
"10133539","8019227314106","","158.51","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","gr-pneus.fr",""
"10133539","8019227314106","","159.96","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","discount-pneus.com","True"
"10133539","8019227314106","","162.65","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","123pneumatiques.fr",""
"10133539","8019227314106","","163.6","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","mobilemech.fr",""
"10133539","8019227314106","","164.58","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","Maison du Pneu",""
"10133539","8019227314106","","164.7","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","pneu-guru.fr",""
"10133539","8019227314106","","165.48","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","bonspneus.fr",""
"10133539","8019227314106","","165.9","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","autopink-shop.fr",""
"10133539","8019227314106","","170.99","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","Goodwheel.fr",""
"10133539","8019227314106","","165.19","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","confortauto.fr",""
"10133539","8019227314106","","173.86","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","tirendo.fr",""
"10133539","8019227314106","","175.89","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","123pneus.com",""
"10133539","8019227314106","","184.5","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","Euromaster.fr",""
"10133539","8019227314106","","158.51","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","gr-pneus.fr",""
"10133539","8019227314106","","159.96","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","discount-pneus.com","True"
"10133539","8019227314106","","162.65","","Pirelli"," Cinturato P7 C2 225/50 R18 99W","","225","50","18","99","W","Pneu d'été","Voiture","R","A","B","70","","","","","","pneus","","","","123pneumatiques.fr",""
"10911977","8808563399706","","102.3","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","winparts.fr",""
"10911977","8808563399706","","104.65","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","gr-pneus.fr",""
"10911977","8808563399706","","108.79","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","Maison du Pneu",""
"10911977","8808563399706","","110.26","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","discount-pneus.com","True"
"10911977","8808563399706","","111.8","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","autopink-shop.fr",""
"10911977","8808563399706","","112.15","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","123pneumatiques.fr",""
"10911977","8808563399706","","112.86","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","tirendo.fr",""
"10911977","8808563399706","","113.3","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","mobilemech.fr",""
"10911977","8808563399706","","113.8","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","pneus-outlet.fr",""
"10911977","8808563399706","","114","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","pneu-guru.fr",""
"10911977","8808563399706","","114.6","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","Goodwheel.fr",""
"10911977","8808563399706","","114.74","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","Amazon",""
"10911977","8808563399706","","119.98","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","bonspneus.fr",""
"10911977","8808563399706","","125.49","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","123pneus.com",""
"10911977","8808563399706","","102.3","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","winparts.fr",""
"10911977","8808563399706","","104.65","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","gr-pneus.fr",""
"10911977","8808563399706","","108.79","","Hankook"," Ventus S1 Evo 2 K117 245/40 R18 97Y","","245","40","18","97","Y","Pneu d'été","Voiture","R","D","B","71","","","","","","pneus","","","","Maison du Pneu",""
"14524645","4050496002183","","99.98","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","bonspneus.fr",""
"14524645","4050496002183","","106.74","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","Goodwheel.fr","True"
"14524645","4050496002183","","106.96","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","discount-pneus.com",""
"14524645","4050496002183","","108.5","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","autopink-shop.fr",""
"14524645","4050496002183","","108.75","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","123pneumatiques.fr",""
"14524645","4050496002183","","109.46","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","tirendo.fr",""
"14524645","4050496002183","","109.9","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","mobilemech.fr",""
"14524645","4050496002183","","110.4","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","pneus-outlet.fr",""
"14524645","4050496002183","","110.6","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","pneu-guru.fr",""
"14524645","4050496002183","","130.89","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","123pneus.com",""
"14524645","4050496002183","","99.98","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","bonspneus.fr",""
"14524645","4050496002183","","106.74","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","Goodwheel.fr","True"
"14524645","4050496002183","","106.96","","Matador"," MP62 All Weather Evo 215/60 R16 99V","","215","60","16","99","V","Pneu toutes saisons","Voiture","R","D","C","72","","","","","","pneus","","","","discount-pneus.com",""
"13606942","8886459546113","","75.95","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","Maison du Pneu",""
"13606942","8886459546113","","78","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","confortauto.fr",""
"13606942","8886459546113","","86.56","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","Goodwheel.fr","True"
"13606942","8886459546113","","87.04","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","bonspneus.fr",""
"13606942","8886459546113","","75.95","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","Maison du Pneu",""
"13606942","8886459546113","","78","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","confortauto.fr",""
"13606942","8886459546113","","86.56","","Radar"," Dimax Alpine 225/40 R18 92V","","225","40","18","92","V","Pneu d'hiver","Voiture","R","D","C","69","","","","","","pneus","","","","Goodwheel.fr","True"
"13402221","8808563337005","","97.81","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","winparts.fr",""
"13402221","8808563337005","","176.89","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","Maison du Pneu",""
"13402221","8808563337005","","326.83","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","gr-pneus.fr",""
"13402221","8808563337005","","327.16","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","bonspneus.fr",""
"13402221","8808563337005","","361.03","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","Goodwheel.fr","True"
"13402221","8808563337005","","97.81","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","winparts.fr",""
"13402221","8808563337005","","176.89","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","Maison du Pneu",""
"13402221","8808563337005","","326.83","","Hankook"," Kinergy 4S H740 225/50 R17 94V","","225","50","17","94","V","Pneu toutes saisons","Voiture","R","C","C","71","","","","","","pneus","","","","gr-pneus.fr",""
"11763828","5452000578457","","137.86","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","winparts.fr",""
"11763828","5452000578457","","138.5","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","autopink-shop.fr","True"
"11763828","5452000578457","","139.04","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","gr-pneus.fr",""
"11763828","5452000578457","","139.76","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","discount-pneus.com",""
"11763828","5452000578457","","139.96","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","tirendo.fr",""
"11763828","5452000578457","","140.76","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","Amazon",""
"11763828","5452000578457","","142.15","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","123pneumatiques.fr",""
"11763828","5452000578457","","142.33","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","Maison du Pneu",""
"11763828","5452000578457","","143.1","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","mobilemech.fr",""
"11763828","5452000578457","","143.8","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","pneus-outlet.fr",""
"11763828","5452000578457","","144.1","","Goodyear"," Vector 4 Seasons Gen-2 215/55 R17 94V","","215","55","17","94","V","Pneu toutes saisons","Voiture","R","C","B","71","","","","","","pneus","","","","pneu-guru.fr",""